[Mon Sep 21 23:27:16.591 2009] 0.012 sec [scan/2/rel 1 (0,20)] [user_core] 
[Mon Sep 21 23:27:22.243 2009] 0.000 sec [scan/2/rel 107 (0,12)] [*] 
[Mon Sep 21 23:27:25.870 2009] 0.000 sec [ext/2/rel 0 (0,12)] [*] @sex 3 @age 6
[Mon Sep 21 23:27:44.245 2009] 0.000 sec [ext/2/rel 0 (0,12)] [*] @sex 1 @age 1
[Mon Sep 21 23:27:47.722 2009] 0.000 sec [ext/2/rel 0 (0,12)] [*] @sex 1 @age 1
[Mon Sep 21 23:28:01.927 2009] 0.004 sec [scan/2/rel 43159 (0,12)] [*] 
[Mon Sep 21 23:28:04.200 2009] 0.000 sec [ext/2/rel 0 (0,12)] [*] @sex 3 @age 6
[Mon Sep 21 23:28:05.832 2009] 0.000 sec [ext/2/rel 0 (0,12)] [*] @sex 3 @age 6
[Mon Sep 21 23:28:11.597 2009] 0.000 sec [ext/2/rel 13 (0,12)] [*] @sex 1 @age 1
[Mon Sep 21 23:28:15.361 2009] 0.000 sec [scan/2/rel 21 (0,12)] [*] 
[Mon Sep 21 23:28:46.036 2009] 0.000 sec [ext/2/rel 0 (0,12)] [*] @sex 3 @age 6
[Mon Sep 21 23:28:51.858 2009] 0.000 sec [ext/2/rel 13 (0,12)] [*] @sex 1 @age 1
[Tue Sep 22 00:35:01.582 2009] 0.000 sec [scan/2/rel 107 (0,5)] [*] 
[Tue Sep 22 01:12:02.640 2009] 0.000 sec [scan/2/rel 107 (0,12)] [*] 
[Tue Sep 22 01:13:44.914 2009] 0.000 sec [scan/2/rel 107 (0,12)] [*] 
[Tue Sep 22 01:16:54.462 2009] 0.000 sec [scan/2/rel 107 (0,12)] [*] 
[Tue Sep 22 01:17:07.906 2009] 0.000 sec [scan/2/rel 107 (0,12)] [*] 
[Tue Sep 22 15:26:35.865 2009] 0.000 sec [scan/2/rel 107 (0,12)] [*] 
[Tue Sep 22 15:26:40.314 2009] 0.006 sec [ext/2/rel 0 (0,12)] [*] @sex 3 @age 6
[Tue Sep 22 15:26:45.991 2009] 0.001 sec [ext/2/rel 0 (0,12)] [*] @sex 1 @age 1
[Tue Sep 22 15:26:51.315 2009] 0.000 sec [ext/2/rel 0 (0,12)] [*] @sex 1 @age 1
[Tue Sep 22 15:26:55.041 2009] 0.000 sec [ext/2/rel 0 (0,12)] [*] @sex 1 @age 1
[Tue Sep 22 15:26:56.625 2009] 0.000 sec [ext/2/rel 0 (0,12)] [*] @sex 1 @age 1
[Tue Sep 22 15:27:06.028 2009] 0.005 sec [scan/2/rel 43159 (0,12)] [*] 
[Tue Sep 22 17:29:08.978 2009] 0.000 sec [scan/2/rel 21 (0,12)] [*] 
